,text
0,"On 6 February 2023, at 04:17 TRT (01:17 UTC), a Mw 7."
1,8 earthquake struck southern and central Turkey and northern and western Syria.
2,The epicenter was 37 km (23 mi) west–northwest of Gaziantep.
3,The earthquake had a maximum Mercalli intensity of XII (Extreme) around the epicenter and in Antakya.
4,It was followed by a Mw 7.
5,7 earthquake at 13:24.
6,This earthquake was centered 95 km (59 mi) north-northeast from the first.
7,There was widespread damage and tens of thousands of fatalities.
9,The Mw 7.
10,"8 earthquake is the largest in Turkey since the 1939 Erzincan earthquake of the same magnitude, and jointly the second-largest in the country, after larger estimates for the 1668 North Anatolia earthquake."
11,It is also one of the strongest earthquakes ever recorded in the Levant.
12,It was felt as far as Egypt and the Black Sea coast of Turkey.
13,"There were more than 30,000 aftershocks in the three months that followed."
14,The seismic sequence was the result of shallow strike-slip faulting along segments of the East Anatolian and Sürgü–Çardak faults.
16,"There was widespread damage in an area of about 350,000 km2 (140,000 sq mi), about the size of Germany."
17,"An estimated 14 million people, or 16 percent of Turkey's population, were affected."
18,Development experts from the United Nations estimated that about 1.
19,5 million people were left homeless.
20,"The confirmed death toll stood at 59,259: 50,783 in Turkey and 8,476 in Syria."
21,It is the deadliest earthquake in what is now present-day Turkey since the 526 Antioch earthquake and the deadliest natural disaster in its modern history.
22,It is also the deadliest in present-day Syria since the 1822 Aleppo earthquake; the deadliest worldwide since the 2010 Haiti earthquake; and the fifth-deadliest of the 21st century.
23,Damages were estimated at US$104 billion in Turkey and US$14.
24,"8 billion in Syria, making them the fourth-costliest earthquakes on record."
26,"Damaged roads, winter storms, and disruption to communications hampered the Disaster and Emergency Management Presidency's rescue and relief effort, which included a 60,000-strong search-and-rescue force, 5,000 health workers and 30,000 volunteers."
27,"Following Turkey's call for international help, more than 141,000 people from 94 countries joined the rescue effort."
29,"Central southern Turkey and northwestern Syria are affected by the interaction between three tectonic plates; the African Plate, Arabian Plate and Anatolian Plate."
30,The boundary between the African and Arabian plates is represented by the Dead Sea Transform (DST)—a major zone of left-lateral strike-slip fault—it accommodates the relative northward movement of Arabia with respect to Africa.
31,The northern end of the DST truncates at the East Anatolian Fault (EAF) another major left-lateral strike-slip fault zone that accommodates the overall westward movement of the Anatolian Plate as it is extruded in that direction by the northward movement of the Arabian Plate.
32,The DST and EAF meet at the Marash Triple Junction.
33,"The EAF continues west of the triple junction, forming the boundary between the African and Anatolian plates, linking into the Cyprus arc to the west via the Latakia Ridge."
34,"The 700 km-long (430 mi) EAF is subdivided into seven segments, from the northeast; the Karlıova, Ilıca, Palu, Pütürge, Erkenek, Pazarcık and Amanos segments."
35,"The Amanos segment is also considered part of the DST by some geologists, or a transitional structure between the EAF and DST by others."
36,"A northern strand to the EAF has also been recognized, including the Sürgü, Çardak, Savrun, Çokak, Toprakkale, Yumurtalık, Karataş, Yakapınar and Düziçi–İskenderun segments."
37,The estimated slip rate on the main strand of the EAF system decreases south-westwards from 10 mm (0.
